PRISM Time Series Data
Location:  Lat: 39.7519   Lon: -104.9923   Elev: 1592m
Climate variable: ppt
Spatial resolution: 4km
Period: 1990-01 - 2015-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2016-Sep-19
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,ppt (mm)
1990-01,16.20
1990-02,14.88
1990-03,95.92
1990-04,26.88
1990-05,63.75
1990-06, 7.09
1990-07,81.00
1990-08,37.66
1990-09,35.60
1990-10,20.84
1990-11,28.34
1990-12, 6.17
1991-01,15.71
1991-02, 1.68
1991-03,15.88
1991-04,49.44
1991-05,59.56
1991-06,76.42
1991-07,67.36
1991-08,56.00
1991-09, 8.99
1991-10,20.01
1991-11,69.14
1991-12, 0.00
1992-01,21.64
1992-02, 0.48
1992-03,102.63
1992-04, 9.53
1992-05,33.43
1992-06,41.21
1992-07,36.93
1992-08,86.71
1992-09, 0.02
1992-10, 6.87
1992-11,39.82
1992-12,12.11
1993-01, 3.93
1993-02,17.62
1993-03,25.13
1993-04,40.97
1993-05,28.75
1993-06,48.69
1993-07,27.57
1993-08,28.16
1993-09,37.16
1993-10,42.36
1993-11,27.84
1993-12, 9.19
1994-01,13.73
1994-02,13.23
1994-03,30.59
1994-04,58.81
1994-05,27.25
1994-06,32.15
1994-07, 9.53
1994-08,39.05
1994-09,13.65
1994-10,27.83
1994-11,30.78
1994-12, 5.24
1995-01, 5.50
1995-02,18.54
1995-03,21.09
1995-04,80.75
1995-05,138.28
1995-06,89.25
1995-07,31.12
1995-08,28.72
1995-09,37.40
1995-10, 6.40
1995-11,15.44
1995-12, 1.31
1996-01,20.92
1996-02, 4.47
1996-03,24.59
1996-04,16.71
1996-05,82.53
1996-06,30.08
1996-07,34.28
1996-08,41.87
1996-09,65.10
1996-10,12.58
1996-11,16.72
1996-12, 7.10
1997-01, 9.58
1997-02,21.65
1997-03, 7.88
1997-04,89.52
1997-05,23.93
1997-06,59.50
1997-07,61.09
1997-08,91.68
1997-09,35.42
1997-10,51.83
1997-11,22.41
1997-12,14.73
1998-01, 7.27
1998-02, 2.93
1998-03,37.09
1998-04,75.00
1998-05,64.33
1998-06,23.63
1998-07,73.31
1998-08,44.28
1998-09,25.78
1998-10,26.48
1998-11,15.13
1998-12,10.67
1999-01, 9.52
1999-02, 4.27
1999-03, 8.90
1999-04,146.77
1999-05,77.14
1999-06,49.58
1999-07,35.78
1999-08,91.82
1999-09,42.73
1999-10,12.40
1999-11,17.61
1999-12,19.03
2000-01,11.97
2000-02, 6.85
2000-03,37.87
2000-04,30.70
2000-05,39.93
2000-06,27.25
2000-07,45.51
2000-08,48.31
2000-09,39.10
2000-10,12.66
2000-11,21.26
2000-12, 5.22
2001-01,11.50
2001-02,18.30
2001-03,33.50
2001-04,41.17
2001-05,85.77
2001-06,20.16
2001-07,62.49
2001-08,42.54
2001-09,23.06
2001-10, 5.42
2001-11,20.43
2001-12, 7.00
2002-01,10.96
2002-02,14.72
2002-03,37.07
2002-04, 2.12
2002-05,38.91
2002-06,18.29
2002-07,21.15
2002-08,24.33
2002-09,49.46
2002-10,24.81
2002-11, 7.50
2002-12, 0.00
2003-01, 1.14
2003-02,16.50
2003-03,107.46
2003-04,59.03
2003-05,50.74
2003-06,34.67
2003-07,17.26
2003-08,62.25
2003-09,11.19
2003-10, 2.00
2003-11, 5.66
2003-12, 7.85
2004-01,12.30
2004-02,24.81
2004-03, 9.41
2004-04,82.48
2004-05,36.70
2004-06,55.21
2004-07,34.80
2004-08,120.32
2004-09,41.52
2004-10,35.31
2004-11,32.60
2004-12, 3.12
2005-01,18.22
2005-02, 0.94
2005-03,24.99
2005-04,63.40
2005-05,23.25
2005-06,81.43
2005-07,14.27
2005-08,59.67
2005-09,11.06
2005-10,68.20
2005-11, 7.52
2005-12, 7.55
2006-01,11.94
2006-02, 6.76
2006-03,19.48
2006-04,14.03
2006-05,16.45
2006-06, 3.35
2006-07,56.28
2006-08,43.94
2006-09,16.80
