PRISM Time Series Data
Location:  Lat: 39.7577   Lon: -105.0108   Elev: 1598m
Climate variable: tmean
Spatial resolution: 4km
Period: 1990 - 2015
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2016-Sep-18
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,tmean (degrees C)
1990, 10.5
1991, 10.6
1992, 10.7
1993,  9.4
1994, 11.4
1995, 10.4
1996, 10.5
1997, 10.3
1998, 11.6
1999, 11.9
2000, 11.8
2001, 11.8
2002, 11.4
2003, 11.7
2004, 11.2
2005, 11.7
2006, 11.3
2007, 11.0
2008, 10.7
2009, 10.5
2010, 11.4
2011, 11.1
2012, 12.6
2013, 10.6
2014, 10.8
2015, 11.6
