staid,long,lat,anntot,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
p012,-116.82704015100,43.29691751210,558.62,83.58,40.71,52.52,61.85,40.56,50.95,7.93,18.79,24.69,43.77,64.47,68.81
p015,-116.77819556200,43.28718916020,359.82,48.27,23.76,27.22,37.27,27.83,39.93,4.97,19.09,17.39,32.41,38.67,42.99
p023,-116.82458557200,43.28451425950,546.35,69.92,44.77,52.73,56.17,48.50,45.01,9.37,20.33,25.06,39.81,64.11,70.57
p024,-116.79488694000,43.27555015980,407.04,65.24,30.43,31.20,38.28,26.47,41.98,5.63,18.14,18.38,35.02,44.61,51.66
p033,-116.81521573300,43.26092504640,504.02,83.50,38.95,43.94,48.77,32.27,45.93,7.60,20.39,23.61,38.85,58.80,61.41
p049,-116.70613351600,43.24722566570,223.71,21.64,16.41,21.91,22.31,24.05,23.15,5.78,14.92,10.76,14.20,24.95,23.62
p053,-116.82410588300,43.22852176640,507.89,57.88,43.09,54.87,46.16,36.14,39.94,14.19,23.44,29.09,39.38,56.65,67.05
p057,-116.73658898300,43.22872292330,236.61,24.15,18.73,20.79,22.90,25.00,26.63,6.87,15.80,11.05,15.41,25.60,23.68
p076,-116.74929498900,43.20520380290,280.14,31.70,23.49,25.86,25.38,27.04,28.59,8.42,15.03,12.69,19.46,32.53,29.97
p088,-116.71790319100,43.18980440450,268.26,28.45,17.66,22.52,27.72,23.85,33.48,8.56,16.66,13.84,19.09,26.29,30.14
p095,-116.78786778400,43.18170704140,468.90,60.31,44.37,49.07,44.47,39.52,35.79,11.90,16.89,18.72,32.46,59.88,55.51
p098,-116.71270917900,43.16897214130,298.36,26.76,30.92,34.53,31.18,35.53,25.73,9.94,10.87,11.52,17.93,35.38,28.07
p114,-116.78888963200,43.15296520570,716.42,107.44,74.01,73.59,66.12,48.02,53.71,15.34,22.97,24.05,50.26,83.36,97.55
p116,-116.76626636600,43.14152995440,470.87,58.80,45.92,48.53,47.32,40.75,35.55,11.35,15.25,18.33,33.45,59.09,56.54
p124,-116.79838826000,43.12932628460,583.12,71.26,51.77,53.11,50.04,42.67,49.78,17.17,22.75,25.18,45.84,79.38,74.16
p127,-116.75302328700,43.12616665630,470.78,63.00,37.73,43.97,44.10,36.23,40.67,12.85,20.86,20.21,34.60,57.46,59.09
p128,-116.73265385900,43.14006958810,349.54,39.45,29.42,35.63,33.35,37.15,34.39,9.80,16.38,15.40,23.80,37.43,37.34
p144,-116.80405577800,43.10238413760,900.78,130.28,98.50,104.03,81.94,66.48,49.74,18.26,21.26,29.26,57.71,126.28,117.03
p147,-116.73779438900,43.10536722590,522.50,65.68,50.33,52.28,47.33,52.46,40.48,13.91,20.32,19.57,34.79,65.30,60.05
p155,-116.77361433000,43.09631259760,711.65,101.49,74.83,79.82,63.47,52.18,41.91,16.49,21.05,24.39,47.55,95.88,92.61
p163,-116.82637568500,43.07938526340,1122.39,176.93,129.54,133.12,102.67,75.76,56.40,19.65,23.65,31.85,62.79,156.12,153.92
p167,-116.73469852100,43.08235220900,805.93,126.87,90.05,90.41,67.75,59.83,43.02,16.62,22.77,23.27,46.21,107.30,111.83
p174,-116.79348449900,43.06668750360,992.53,154.23,112.04,116.55,92.85,68.84,51.51,19.20,23.78,29.51,56.10,138.03,129.87
p17607,-116.75368908900,43.06742823070,990.67,164.03,115.74,114.23,83.31,64.72,48.58,17.85,23.11,27.03,53.74,136.71,141.61
p17614,-116.75814191900,43.06569074160,763.62,103.83,82.50,88.35,66.59,55.71,43.65,19.19,23.54,28.02,47.34,105.95,98.95
